"CNES";UF;IBGE;"NOME";"LOGRADOURO";"BAIRRO";LATITUDE;LONGITUDE
"0023914";"31";"310620";"CENTRO DE SAUDE JARDIM MONTANHES";"RUA SAUDE";"PADRE EUSTAQUIO";"-19.9115031449";"-43,9914089036"
"0106143";"26";"261000";"UBS FRANCISCO VIEIRA DE MELO";"QUADRA 50";"QUILOMBO II";"-8.7055896745";"-35,5995386839"
"0000302";"26";"260290";"USF SANTO ESTEVAO";"RUA DO CEMITERIO";"PONTE DOS CARVALHOS";"-8.2181117";"-35,2294359"
"0102415";"35";"351310";"AMB MUNICIPAL DE ESPECIALIDADES HELCIO MEDICO";"RUA DONA IGNACIA";"CENTRO";"-21.336523";"-47,733023"
"0405132";"26";"261350";"UNIDADE DE SAUDE SABINO LUCAS DE BARROS";"TRAVESSA SAO PAULO";"VILA DELMIRO";"-7.8660812968";"-38,7650871277"
"0881007";"26";"261000";"UBS MARIA ALICE";"QUADRA 11";"QUILOMBO 2";"-8.6985132676";"-35,6040179729"
"0907847";"26";"261000";"UBS MANOEL DA SILVA FILHO";"RUA JOSE RUDIVAL ARAGAO";"CENTRO";"-8.6785400575";"-35,5874633789"
"0907855";"26";"261000";"UBS NEWTON CARNEIRO II";"AV LUIS PORTELA DE CARVALHO";"NEWTON CARNEIRO";"-8.6674088998";"-35,5743205547"
"0907871";"26";"261000";"UBS QUILOMBO I";"QUADRA P";"QUILOMBO I";"-8.688371687";"-35,5807632208"
"0907901";"26";"261000";"UBS ELIAS RODRIGUES DE ANDRADE";"RUA 15 DE NOVEMBRO";"NOVO HORIZONTE";"-8.6602601787";"-35,5753022432"
"0915386";"26";"261000";"UBS ADILSA FRANCISCA";"RUA ANTONIETA MIRANDA";"SANTA LUZIA";"-8.6743321051";"-35,5818548799"
"0927988";"50";"500295";"UNIDADE DA ESTRATEGIA DA SAUDE DA FAMILIA ESPLANADA";"RUA DAS GAIVOTAS";"ESPLANADA III";"-18.7820855467";"-52,6007151604"
"2013290";"13";"130014";"UBS EDUARDO BIAZIN";"ERNESTO GAISEL";"SUCUNDURI";"-7.197562";"-59,891336"
"2020661";"16";"160080";"PMVJ POSTO DE SAUDE SAO JOAO DO CAJARI";"LOCALIDADE DE SAO JOAO DO CAJARI";"RIO CAJARI";"-0.9509603646";"-52,4209213257"
"2063050";"35";"352840";"IX POSTO MUNICIPAL DE SAUDE NOVA MAIRINQUE MAIRINQUE";"RUA GETULIO DORNELES VARGAS";"NOVA MAIRINQUE";"-23.5352681173";"-47,1929955482"
"2064278";"35";"352840";"V POSTO MUNICIPAL DE SAUDE JARDIM FLORA MAIRINQUE";"RUA KOMOZO TOMO";"JARDIM FLORA";"-23.5362320762";"-47,2005915642"
"2087146";"35";"352840";"II UNIDADE SAUDE DA FAMILIA PORTA DO SOL MAIRINQUE";"ALVARES DE AZEVEDO";"PORTA DO SOL";"-23.5475433117";"-47,1844553947"
"2091704";"35";"355030";"OSEC";"CASSIO DE CAMPOS NOGUEIRA";"JARDIM DAS IMBUIAS";"-23.7296567";"-46,7129514"
"2193922";"31";"316800";"UAPS AGEU ALMEIDA";"RUA ARACUAI";"CENTRO";"-15.80892";"-42,23183"
"2313014";"15";"150110";"CENTRO DE SAUDE DE BAGRE RIBEIRINHO";"AVENIDA PRESIDENTE VARGAS";"CENTRO";"-1.9003291756";"-50,2106255293"
"2313081";"15";"150110";"EQUIPE DE SAUDE DA FAMILIA DO PARAISO";"AVENIDA FERNANDO GUILHON";"PARAISO";"-1.8973053052";"-50,2147614956"
"2315017";"26";"261000";"UBS IVONETE MARIA A G DA SILVA";"AV DEPUTADO ALCIDES TEIXEIRA";"SANTA ROSA";"-8.6743586203";"-35,5787488818"
"2315424";"26";"261000";"UBS IRONEIDE OLIVEIRA DA SILVA";"RUA JOSE LAGRECA";"SANTA LUZIA";"-8.672054435";"-35,5934768915"
"2315440";"26";"261000";"UBS AURELIANO DOMINGOS";"RUA OLIMPIO DE SOUZA CRUZ";"SANTO ONOFRE";"-8.6773866537";"-35,587541163"
"2253380";"43";"431440";"UBS GRUPELLI";"7 DISTRITO";"COLONIA";"-31.4554782942";"-52,5109148026"
"2437376";"52";"520490";"UBS ABCB CAMPOS BELOS";"RUA DAS INDUSTRIAS";"SETOR INDUSTRIAL";"-13.0";"-46,798"
"2253534";"43";"431440";"UBS ESCOLA CSU AREAL UFPEL";"RUA GUARARAPES";"AREAL";"-31.755102";"-52,316919"
"2505002";"25";"250370";"UNIDADE BASICA DE SAUDE JOSE LOPES DE LIRA";"RUA NOSSA SENHORA DE APARECIDA";"DIST DE ENG AVIDOS";"-6.9003110128";"-38,5258769989"
"2576457";"41";"410760";"CENTRO MUNICIPAL DE SAUDE FAXINAL";"RUA ISMAEL PINTO SIQUEIRA";"CENTRO";"-23.9994262523";"-51,3219881058"
"2689995";"42";"420245";"UNIDADE DE SAUDE DO CENTRO";"RUA SALMAO";"CENTRO";"-27.1534912";"-48,4875264"
"2790068";"35";"350790";"CENTRO DE ATENDIMENTO A CRIANCA CAC BROTAS";"AVENIDA ANGELO PIVA";"CENTRO";"-22.2857409855";"-48,1253582239"
